X0  X1  X2   X3  X4  X5   S0   S1   
0   0   0    0   0   0    0    0    
0   0   0    0   0   1    0    0    
0   0   0    0   1   0    0    0    
0   0   0    0   1   1    0    0    
0   0   0    1   0   0    0    0    
0   0   0    1   0   1    0    0    
0   0   0    1   1   0    0    0    
0   0   0    1   1   1    0    0    
0   0   1    0   0   0    0    0    
0   0   1    0   0   1    0    1    
0   0   1    0   1   0    1    0    
0   0   1    0   1   1    1    1    
0   0   1    1   0   0    0    0    
0   0   1    1   0   1    0    1    
0   0   1    1   1   0    1    0    
0   0   1    1   1   1    1    1    
0   1   0    0   0   0    0    0    
0   1   0    0   0   1    1    0    
0   1   0    0   1   0    0    0    
0   1   0    0   1   1    1    0    
0   1   0    1   0   0    0    0    
0   1   0    1   0   1    1    0    
0   1   0    1   1   0    0    0    
0   1   0    1   1   1    1    0    
0   1   1    0   0   0    0    0    
0   1   1    0   0   1    1    1    
0   1   1    0   1   0    1    0    
0   1   1    0   1   1    0    1    
0   1   1    1   0   0    0    0    
0   1   1    1   0   1    1    1    
0   1   1    1   1   0    1    0    
0   1   1    1   1   1    0    1    
1   0   0    0   0   0    0    0    
1   0   0    0   0   1    0    0    
1   0   0    0   1   0    0    0    
1   0   0    0   1   1    0    0    
1   0   0    1   0   0    0    0    
1   0   0    1   0   1    0    0    
1   0   0    1   1   0    0    0    
1   0   0    1   1   1    0    0    
1   0   1    0   0   0    0    0    
1   0   1    0   0   1    0    1    
1   0   1    0   1   0    1    0    
1   0   1    0   1   1    1    1    
1   0   1    1   0   0    0    0    
1   0   1    1   0   1    0    1    
1   0   1    1   1   0    1    0    
1   0   1    1   1   1    1    1    
1   1   0    0   0   0    0    0    
1   1   0    0   0   1    1    0    
1   1   0    0   1   0    0    0    
1   1   0    0   1   1    1    0    
1   1   0    1   0   0    0    0    
1   1   0    1   0   1    1    0    
1   1   0    1   1   0    0    0    
1   1   0    1   1   1    1    0    
1   1   1    0   0   0    0    0    
1   1   1    0   0   1    1    1    
1   1   1    0   1   0    1    0    
1   1   1    0   1   1    0    1    
1   1   1    1   0   0    0    0    
1   1   1    1   0   1    1    1    
1   1   1    1   1   0    1    0    
1   1   1    1   1   1    0    1    
