X0  X1   X2  X3   S0   S1   S2   
0   0    0   0    0    0    0    
0   0    0   1    0    0    1    
0   0    1   0    0    1    0    
0   0    1   1    0    1    1    
0   1    0   0    0    0    1    
0   1    0   1    0    1    0    
0   1    1   0    0    1    1    
0   1    1   1    1    0    0    
1   0    0   0    0    1    0    
1   0    0   1    0    1    1    
1   0    1   0    1    0    0    
1   0    1   1    1    0    1    
1   1    0   0    0    1    1    
1   1    0   1    1    0    0    
1   1    1   0    1    0    1    
1   1    1   1    1    1    0    
